id,image,gt_count,pred_count,signed_error,abs_error
PartB_02190,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02190.jpg,93,163,70,70
PartB_00169,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00169.jpg,54,96,42,42
PartB_02137,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02137.jpg,62,88,26,26
PartB_01913,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01913.jpg,58,34,-24,24
PartB_00989,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00989.jpg,76,55,-21,21
PartB_02167,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02167.jpg,115,96,-19,19
PartA_01041,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01041.jpg,60,76,16,16
PartB_02401,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02401.jpg,78,63,-15,15
PartA_01043,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01043.jpg,66,79,13,13
PartA_00933,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00933.jpg,62,75,13,13
PartB_02157,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02157.jpg,31,43,12,12
PartB_02089,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02089.jpg,87,76,-11,11
PartA_00594,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00594.jpg,72,82,10,10
PartA_00943,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00943.jpg,70,80,10,10
PartA_00045,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00045.jpg,66,57,-9,9
PartA_00353,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00353.jpg,85,76,-9,9
PartB_01764,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01764.jpg,13,4,-9,9
PartA_01036,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01036.jpg,75,84,9,9
PartA_00533,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00533.jpg,62,71,9,9
PartB_01074,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_01074.jpg,78,70,-8,8
PartB_00916,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00916.jpg,46,54,8,8
PartB_00459,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00459.jpg,11,19,8,8
PartB_02162,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_02162.jpg,69,61,-8,8
PartA_00908,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00908.jpg,70,78,8,8
PartA_00974,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00974.jpg,63,71,8,8
PartA_01993,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01993.jpg,81,74,-7,7
PartA_01905,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_01905.jpg,74,67,-7,7
PartA_00038,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartA_00038.jpg,83,76,-7,7
PartB_00287,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00287.jpg,33,26,-7,7
PartB_00132,C:\Users\hdgn5\OneDrive\Masaüstü\Head Detection\scut_head_yolo_rebalanced\images\test\PartB_00132.jpg,13,20,7,7
